COURSE CATEGORY,COURSE TITLE,COURSE OBJECTIVE,COURSE INSTRUCTORS,INSTRUCTOR PROFFESSION,COURSE RATING,,,
IT AND SOFTWARE,"API and Web Service Introduction
","Introduction to APIs and RESTful Web Services. Includes HTTP, JSON, XML, REST, SOAP, OAuth, OpenID Connect, Postman, and Python. Includes examples and a quiz.
","Nate Ross
","Technology Teacher
","4.6
",,,
,,,,,,,,
DESIGN,"Character Art School: Complete Character Drawing Course
","How to Draw Characters Well
How to Draw Out of Your Head Fast
How to Draw in 3D
How to Draw Faces, Bodies and Hands
How to Draw like a Professional Artist
How to Draw Characters for Games, Films, Animation, Manga, Comics and More
Draw with Pencils and Paper or Digital Art Tools
Utilize the included 7GB of Free Art Resources
","Scott Harris
","Art Director - Art School of Imagination, Art Book Author
","4.6
",,,
,,,,,,,,
DESIGN,"Complete Blender Creator: Learn 3D Modelling for Beginners
","Use Blender and understand it's interface
Understand the principles of modelling
Create 3D models with simple colors
Learn the basics of animation
Create your own materials
UV map and unwrap your models
","GameDev.tv Team
Rick Davidson
Grant Abbitt
","Learn to Make and Sell Games
Career Coach with 14+ years in the Video Game Industry
3D Artist
","4.6
",,,
,,,,,,,,
DESIGN,"Ultimate Adobe Photoshop Training: From Beginner to Pro
","Design icons, business cards, illustrations, and characters
Clean up face imperfections, improve and repair photos
Use creative effects to design stunning text styles
Remove people or objects from photos
Cut away a person from their background
Master selections, layers, and working with the layers panel
","Cristian Doru Barin
","Certified Photoshop Instructor & Expert, Web & App Designer
","4.6
",,,
,,,,,,,,
DESIGN,"User Experience Design Essentials - Adobe XD UI UX Design
","Become a UX designer.
You will be able to start earning money from your XD Skills.
You will be able to add UX designer to your CV
Build a UX project from beginning to end.
Become a UI designer.
Build & test a full mobile app.
Build & test a full website design.
You will have a project of your own to add to your portfolio.
93 lectures of well-structured, step by step content.
Learn to design websites & mobile phone apps.
Work with fonts & colors.
Prototype your designs with interactions.
Test on mobile phones.
You'll create realistic prototype complete with micro interactions.
Send your designs for feedback & commenting.
Export production ready assets.
Create your first UX brief & persona.
Create quick wireframes.
How to use premade UI kits.
Learn professional workflow tricks & shortcuts.
You will get the finished files so you never fall behind
Downloadable exercise files
Forum support from me and the rest of the BYOL crew
All the techniques used by UX professionals
Build a mobile app prototype that responses to voice commands.
You will be able to talk correctly with other UX design professionals.
You'll learn how to choose colors.
You'll learn how to pick the correct fonts.
You'll be able to send your finished work to other professionals in the correct formats.
","Daniel Walter Scott
","Adobe Certified Instructor & Adobe Certified Expert
","4.7
",,,
,,,,,,,,
DESIGN,"Graphic Design Masterclass - Learn GREAT Design
","Have a deep understanding of typography, color theory, photos, layout, blocking and other design theory and skills
Understand and learn the essential tools and capabilities of Adobe Photoshop, Illustrator and InDesign
Create logos and branding packages for potential clients
Learn photo editing and manipulation in Adobe Photoshop
Master the pen tool, shape builder tool and other essential vector design tools in Adobe Illustrator.
How to create editorial spreads and magazine layouts using Adobe InDesign
Understand solid logo design and ad design principles to create compelling campaigns and logos
Work through the entire package design process
Learn non-destructive editing techniques in Adobe Photoshop
Work through an event flyer design to understand strong type hierarchy, balance and overall design layout
Learn a few of the upcoming design trends for 2021 and how to create them!
Learn the history of fonts and typefaces and how to pair fonts
Learn the basics of Affinity Designer and learn the difference between Adobe Illustrator and Affinity Designer
Work through a 7 page vector tracing worksheet and feel confident creating a complex vector illustration by the end of this worksheet
NEW! Learn how to work with multiple page layouts in Adobe InDesign and create a cookbook cover and book
NEW! Learn the step-by-step process to becoming a graphic designer
NEW! Learn how to work with Photoshop Mockups to create great presentations
NEW! Learn word mapping and brainstorming techniques to increase your creativity in logo design and branding projects
NEW! Learn the Double Exposure Effect in Adobe Photoshop
NEW! Create Vector Art in Adobe Illustrator
NEW! Learn How to Encourage and Spark Creativity
NEW! How to create YouTube thumbnails and social media graphics
NEW! How to properly give and receive critiques and feedback
","Lindsay Marsh
","300,000+ Students | Graphic Design, Adobe, Affinity & More
","4.7
",,,
,,,,,,,,
DESIGN,"The complete AutoCAD 2018-21 course
","Make and edit their own AutoCAD Drawings, Plans and Layouts
Prepare for the AutoCAD certification exams
Work with projects like floor plans, circuit diagrams and mechanical drafting
New features of AutoCAD 2019, 20 and 2021 version
","Jaiprakash Pandey
","Co-author of Learn AutoCAD Book
","4.6
",,,
,,,,,,,,
DESIGN,"Graphic Design Bootcamp: Photoshop, Illustrator, InDesign
","Gain a clear understanding of how to work with BOTH print and web projects in Photoshop, Illustrator, and InDesign.
Develop the skills and confidence to create common graphic design projects.
Build a skill set that can set you up to be employable in the creative industry as a graphic designer.
Begin to understand the basics of logo design, including typography and color usage.
Learn how to make and refine selections using Photoshop.
Learn how to make composite images using Photoshop.
Work with typography, shapes, colors, and more in Illustrator.
Learn how to efficiently package and export files.
Learn how to lay out graphics and text while designing an eBook with InDesign.
Discover how to export your finished portfolio projects directly from the Adobe CC into Behance.
Learn how to mask shapes and work with Font Awesome icons.
Learn how to set up a logo mood board and how to present your work to clients.
Work with the type tools in Adobe Illustrator.
","Derrick Mitchell
","Creative Director; Online Teacher to over 128,000 students
","4.5
",,,
,,,,,,,,
DESIGN,"Drawing and Painting on the iPad with Procreate
","Users will have a deep understanding of Procreate
Create Speedraw videos they can post online
Create and import custom brushes
Have a basic understanding of how to compose and create a painting
","Brad Colbow
","Freelance Designer and Illustrator
","4.7
",,,
,,,,,,,,
DESIGN,"CSS - The Complete Guide 2021 (incl. Flexbox, Grid & Sass)
","Build beautiful websites which don't just contain great content but also look good
Use basic as well as advanced CSS features
Understand the concepts and theory behind CSS and certain CSS features
","Academind by Maximilian Schwarzmüller
Maximilian Schwarzmüller
Manuel Lorenz
","Online Education
Professional Web Developer and Instructor
Professional Business Analyst and Instructor
","4.7
",,,
,,,,,,,,
DESIGN,"Creating 3D environments in Blender
","Creating stunning unique environments
Organize your workflow to make large environment scenes
More than 250 unique 2K / 4K textures
Lots of medieval reference photos
E-book: Old Masters Unveiled ( 250 pages)
All scene assets, including buildings, rocks, grass, trees and more
6 Characters to fill up your scene
Full course documentation for the Blender basics chapter
Baking your models and importing in Unity 3D
","Rob Tuytel
Erik Selin
","Founder Texture Haven
3D Artist
","4.7
",,,
,,,,,,,,
BUSINESS,"Microsoft Power BI - A Complete Introduction [2021 EDITION]
","At the end of this course students will be able to analyse data from different data sources and create their own datasets
Students will be able to comfortably work with the different tools of the Power BI universe and know how the different tools work together
Students will have the required knowledge to dive deeper into Power BI and find out more about its advanced features
","Manuel Lorenz
Academind by Maximilian Schwarzmüller
Maximilian Schwarzmüller
","Professional Business Analyst and Instructor
Online Education
Professional Web Developer and Instructor
","4.6
",,,
,,,,,,,,
BUSINESS,"An Entire MBA in 1 Course:Award Winning Business School Prof
","Over 400,000 students in 195 countries!
Superb reviews!
Free $99 384 page book version of this course!
Take your career to the next level!
Launch a company from scratch.
Get any job the easy way.
Get many customers by using the best networking tool!
Raise a lot of money quickly.
Create financial models from scratch (the Professor makes it so easy to understand).
Analyze company financials with ease!
Understand how investment banking firms work and what they can do to help your business.
Understand how management consulting firms work and when you need to hire them.
Understand how macro economics and micro economics works.
Understand what is venture capital and how to partner with the top venture capital firms to take your company to the next level.
Present to investors and customers like a boss : )
Communicate the right way in business so that you don't waste time.
Change careers easily.
Network and get a meeting with anyone (ideal tips on how to get a job or how to reinvent yourself or how to find customers).
Analyze entire markets and companies from a qualitative and quantitative perspective.
Understand how taxes work (don't worry this section is not boring)!
Protect your family and assets in case your business gets sued.
Understand what business career makes most sense for you!
Restructure your company and the benefits of declaring bankruptcy protection if needed.
Partner with equity and debt providers.
After this course you will have the tools / skills needed to launch a company, grow it and then take it public!
Value companies the easy way.
Set up the correct and most beneficial legal entity for your company.
Identify what makes an entrepreneur extremely successful.
Set unbelievable goals for yourself (there are no limits to what you can achieve....)!
","Chris Haroun
","Award Winning MBA Professor, Venture Capitalist and Author.
","4.4
",,,
,,,,,,,,
BUSINESS,"Leadership: Practical Leadership Skills
","Become a Master in Leadership
Be a better boss, and run a highly effective team
Delegate effectively to empower their team
Have a healthy work life balance, with a happy environment
Understand academic theories surrounding leadership styles and techniques
Build a vast array of practical tools to be a fantastic leader
Know the difference between delegating styles and which one is appropriate for each situation
Feel confident enough to involve employees in decision making and planning
Spend more time developing plans and ideas for the future
","Chris Croft
","Management Trainer, Speaker, Author
","4.6
",,,
,,,,,,,,
BUSINESS,"Become a Product Manager | Learn the Skills & Get the Job
","Understand the varying role of a Product Manager through different types and sizes of companies
Decide which type of Product Manager best fits one's goals and personality
Understand the Product Lifecycle and how it applies to every product
Understand the modern Product Development Process that both Fortune 500s and Startups adhere to
Know how to identify ideas worth pursuing and dedicating resources to
Understand how to get at the root of customer pain points
Understand and communicate customer pain by type and frequency
Assess the core problem of a product
Find and compare competitors and competing products
Differentiate between Direct, Indirect, Substitute, and Potential competitors
Understand the process of Customer Development and how it relates to being a Product Manager
How to find potential interviewees for product interviews, user tests, and exploratory interviews
How to structure and run a customer interview
How to model interview questions correctly while avoiding bias
Navigate the four different types of customer interviews
Find potential interviewees both internally and externally
Write emails that will get users and potential customers to respond
Build user personas based on both qualitative and quantitative data
Understand the difference between a wireframe, a mockup, and a prototype
Sketch out a wireframe with just a pen and paper
Use Balsamiq to create wireframes at an intermediate level
Use a sketch system called POP for digitizing product sketches
Create specs for epics and user stories
Properly apply acceptance criteria
Run a variety of MVP experiments, such as pitch experiments, redirects, shadow buttons, and more
Correctly evaluate which product metrics to track and which to ignore
Apply the AARRR framework to your product
Apply the HEART framework to your product
Track your metrics using a variety of software
Create a product and feature roadmap
Create a product backlog and properly prioritize features
Calculate team velocity and build estimations for product delivery
Understand the difference between Agile and Waterfall development
Understand the difference between two popular Agile frames: Scrum and Kanban
Learn software development concepts like APIs, mobile development, Front End, Back End, MySQL, programming frameworks, and more
Communicate effectively with all the stakeholders of a product
Communicate effectively with engineers in a way they will appreciate and understand
Communicate effectively with designers by focusing on the things they care about most
Communicate effectively with executives and higher-ups
Understand the role of technology in modern Startups and Fortune 500s
Understand the basics of ""The Cloud"" and Servers vs. Clients
Understand the basics of front-end vs. back-end technology, tech stacks, and how they integrate together
Understand the basics of APIs, what they do, what they look like, and how your team might use them
Understand how to obtain relevant experience to set up for a transition to Product Management
Build a portfolio that will assist in a hiring application
How to self-brand online and build a following pre-hire
What to look for in Product Management jobs and what to ignore
How to apply insider tips and tricks to getting hired as a Product Manager
Craft a resume that appeals to a hiring manager for Product Management placement
Ace the Product Manager interview
Excel beyond getting hired
","Cole Mercer
Evan Kimbrell
","Head of Academy @ Semrush | Ex- Lead PM @ SoundCloud
Founder of Sprintkick | Ex-VC  | Ex-startup founder
","4.6
",,,
,,,,,,,,
BUSINESS,"The Business Intelligence Analyst Course 2021
","Become an expert in Statistics, SQL, Tableau, and problem solving
Boost your resume with in-demand skills
Gather, organize, analyze and visualize data
Use data for improved business decision-making
Present information in the form of metrics, KPIs, reports, and dashboards
Perform quantitative and qualitative business analysis
Analyze current and historical data
Discover how to find trends, market conditions, and research competitor positioning
Understand the fundamentals of database theory
Use SQL to create, design, and manipulate SQL databases
Extract data from a database writing your own queries
Create powerful professional visualizations in Tableau
Combine SQL and Tableau to visualize data from the source
Solve real-world business analysis tasks in SQL and Tableau
","365 Careers
","Creating opportunities for Business & Finance students
","4.6
",,,
,,,,,,,,
BUSINESS,"Agile Fundamentals: Including Scrum and Kanban - 2021
","Learn how to get into the Agile mindset and achieve success in helping organizations evolve
Command a strong focus on delivering customer value and exceeding expectations
Master popular Agile frameworks Scrum, Kanban, and Scrumban, enabling you to land and excel in any Agile position
Explore fun, interactive, and highly effective lessons from best-selling instructors
Assist with your organization's current, or future, transformation to Agile
","The BA Guide | Jeremy Aschenbrenner
Vivek & Pabitra Khattri
","Business Analyst Trainer and Coach | Best Selling Instructor
Coach & Instructor @ The Agile Coach
","4.5
",,,
,,,,,,,,
BUSINESS,"Communication Fundamentals: How To Communicate Better
","Effectively communicate
Communicate with different personalities
","Life Progression Project
Lorraine Wiseman
","Teaching 240,000+ Students across 40+ Courses
Global Executive in Leading Change
","4.5
",,,
,,,,,,,,
BUSINESS,"Conscious Listening
","Bring confidence and control to your communication
Become present and aware in social situations
Learn how your listening dictates your reality and how you can use listening to alter your experience of the world
Create stronger connections with other people and to the world around you
Improve your relationships
Understand the impact of sound and listening on your health and wellbeing
Master the three types of listening
Improve your understanding and appreciation
Learn how we are losing our listening, and how it can be restored
Learn how to listen with compassion
","Julian Treasure
","Five-time TED speaker and author of ""How to be Heard""
","4.5
",,,
,,,,,,,,
BUSINESS,"Design Thinking for Beginners: Develop Innovative Ideas
","Apply the 5-step design thinking process to a design challenge in your organization.
Empathize with your user through interviews and observations, in order to take a human-centered approach to a problem.
Define your core problem by synthesizing and analyzing information gathered during your empathy work.
Ideate solutions to your problem by brainstorming using ""How might we..."" statements.
Prototype your ideas rapidly to identify the best possible solution for your problem.
Test your prototypes with users to gather feedback on your proposed solution.
Pitch design thinking to your team or organization using storytelling.
","Laura Pickel
","Learning Experience Designer at Lyft
","4.4
",,,
,,,,,,,,
BUSINESS,"Customer | How to Understand Customer Needs
","Recognise how internal service impacts external service
Define internal and external customers
Determine factors that create customer value
Link service to outcome
Identify needs of internal and external customers
Develop strategies to support the modern day customer - inclusive of the ‘millennial’ customer
Develop strategies to gain an emotional connection with your customer
","Learoy Tonight
","Bite Size Learning
","4.5
",,,
,,,,,,,,
TEACHING AND  ACADEMICS,"Spanish for Beginners. The Complete Method. Level 1
","You will rapidly build a solid foundation of Spanish.
You will have practical usage of basic Spanish in a matter of weeks.
You will produce and speak thousands of perfectly constructed phrases.
You will speak with good pronunciation due to constant repetition and imitation of native Spanish speaker.
You will remember at least 98% of the everything taught, due to the system of constant repetition and recycling of new language.
","Peter Hanley
","Best Selling Language Instructor, creator of THE METHOD.
","4.8
",,,
,,,,,,,,
TEACHING AND  ACADEMICS,"English Grammar Launch: Upgrade your speaking and listening
","Speak English more confidently.
Better understand spoken English.
Have a deeper knowledge of the structure of English grammar.
Produce the target structures confidently and accurately.
","Anthony Kelleher
","Bachelor of Arts TESOL - English Teacher at Sir English
","4.6
",,,
,,,,,,,,
TEACHING AND  ACADEMICS,"Learn German Language: Complete German Course - Beginners
","The #1 German Course. Start speaking real, grammatically correct German fluently, effortlessly and confidently today.
Improve your listening and German comprehension skills through ear training and visual learning thanks to the native German speaking teacher, interactive board, subtitles and included .pdf materials.
Be confident regarding your German skills (A1, A2, A2+ levels) by lots of practice after every lesson. Understand and use familiar everyday expressions.
Reach your German language goals now and in the future, increasing your opportunities for both personal and professional success.
By the end of the course, you will build and develop your practical communication skills in German speaking, writing, reading and, of course, your fluency and grammatical accuracy.
","AbcEdu Online
","Interactive Board - 30+ years teaching, 200.000+ Students
","4.3
",,,
,,,,,,,,
TEACHING AND  ACADEMICS,"Become an Algebra Master
","Operations, including order of operations (PEMDAS) and like-terms
Fractions, exponents, and radicals, including advanced operations with all three
Equations and systems of equations, including inverse operations, direct and inverse variation, and distance/rate/time problems
Graphing, including parallel and perpendicular lines, and parabolas
Polynomials and factoring, including the quadratic formula and completing the square
Functions, including domain and range, and sums and products of functions
Inequalities, including trichotomy and graphing inequalities and conjunctions on a number line
Exponential and logarithmic functions, including laws of logs, change of base, and graphing
","Krista King
","Your geeky, trusty math tutor
","4.7
",,,
,,,,,,,,
TEACHING AND  ACADEMICS,"The Complete TOEFL iBT Success Course (NEW VERSION)
","You will be able to pass the NEW TOEFL iBT test for 100 points or more
You will be fully prepared for all four sections of the test - Reading, Listening, Speaking, Writing
By the end of this course you will be able to pass TOEFL for the score sufficient to enroll the most prestigious American universities.
You will learn everything you need to know to succeed on TOEFL, including tactics, skills, templates and ready made solutions to tackle every single question of the test
","Maria Guryeva
","Private Coach on Applying to US Universities
","4.4
",,,
,,,,,,,,
TEACHING AND  ACADEMICS,"Electricity & electronics - Robotics, learn by building
","develop and build analog electronics circuits
you will build multiple circuits from sound buzzers to bionics where we actually control a servo motor by reading signals from your muscles
","Ian Juby
","Robotics engineer & Educator at Tech Valley Science Centre
","4.7
",,,
,,,,,,,,
TEACHING AND  ACADEMICS,"The complete SOLAR ENERGY course. Beginner to advanced level
","Design your own Grid-Tie PV System
Learn everything on Solar Modules, Optimizers (DC/DC converters), Junction Boxes, Inverterers, Solar Meters
Calculate Solar Array size
Determine and select the correct components for the Solar PV system
Calculate Peak Sun Hours for any location in the world!
Determine if the Roof Pitch and Azimuth of a property is good for a Solar System
Determine the optimum panel placement for Solar PV
Calculate efficiency losses due to Roof Pitch/Azimuth and equipments
Energy production curve of a PV system vs. house energy needs
Learn about the Solar Cells Chemistry
Learn about Monocrystalline vs. Polycrystalline modules
Learn the wiring foundations
Build your own Grid-Tie Solar design
Power concepts & Units
Learn all the fundamentals of Solar PV energy
Applications of Solar PV Systems
Foundations about Off-Grid vs. Grid-Tie
How does a PV system work
Learn in detail about the components of a typical PV system
Advantages and Disadvantages of Solar photovoltaic energy
","Leandro Caruso
","Environmental Engineer I Postgraduate in General Management
","4.4
",,,
,,,,,,,,
TEACHING AND  ACADEMICS,"Economics: Market Forces of demand, supply and equilibrium
","This course is structured in the most simplest way for anyone who is interested to learn market forces. Through demand, supply and equilibrium, you will be abale to analyze any changes in any market forces in any specific market.
","Evrim Kanbur
","Head of Business Management, Entrepreneur, TEDx Speaker
","4.4
",,,
,,,,,,,,
TEACHING AND  ACADEMICS,"Quantum Physics: an overview of a weird world (Basics)
","The conceptual foundations of Quantum Physics.
A comprehensive A-Z guide that will save you a ton of time in searching elsewhere trying to piece all the different information together.
Quantum Theory without falling into oversimplifications or hyped versions and yet conceived for an audience of non-physicists.
The double silt experiment, wave particle duality, entanglement, superposition, uncertainty principle, Schrödinger's cat, quantum tunneling and much more.
A course that fills the gap between a too popularized version of Quantum Mechanics and too high level university courses.
You will learn all the basics, enabling you to distinguish between mere speculative interpretations in fashion and the real experimental facts.
","Marco Masi
","Physicist (Ph.D.) and tutor
","4.5
",,,
,,,,,,,,
